Year,Genre,Global_Sales_Millions,North_America_Sales,Europe_Sales,Asia_Pacific_Sales,Rest_of_World_Sales,YoY_Growth_Percent,Market_Share_Percent,Platform_Primary
2007,Battle_Royale,0.00,0.00,0.00,0.00,0.00,0.0,0.0,None
2007,MMORPG,2.09,0.63,0.42,0.84,0.20,32.3,4.4,PC
2007,Platformer,2.93,1.17,0.88,0.59,0.29,32.6,6.2,Console
2007,Horror,0.42,0.17,0.13,0.08,0.04,31.2,0.9,Console
2007,Music_Rhythm,0.84,0.34,0.25,0.17,0.08,33.3,1.8,Console
2008,Action,13.92,5.57,3.48,3.34,1.53,23.5,23.5,Console
2008,Shooter,10.44,4.70,2.82,1.67,1.25,24.6,17.6,Console
2008,Role_Playing,5.74,1.44,1.15,2.58,0.57,24.5,9.7,Console
2008,Sports,6.26,2.50,1.88,1.13,0.75,24.5,10.5,Console
2008,Adventure,3.65,1.46,1.10,0.73,0.36,24.6,6.2,Console
2008,Racing,3.13,1.25,0.94,0.63,0.31,24.7,5.3,Console
2008,Strategy,2.09,0.63,0.63,0.63,0.20,25.1,3.5,PC
2008,Puzzle_Casual,2.61,1.04,0.78,0.52,0.27,24.9,4.4,Mobile
2008,Fighting,1.57,0.63,0.47,0.31,0.16,24.6,2.6,Console
2008,Simulation,2.09,0.84,0.63,0.42,0.20,25.1,3.5,PC
2008,Battle_Royale,0.00,0.00,0.00,0.00,0.00,0.0,0.0,None
2008,MMORPG,2.61,0.78,0.52,1.04,0.27,24.9,4.4,PC
2008,Platformer,3.65,1.46,1.10,0.73,0.36,24.6,6.2,Console
2008,Horror,0.52,0.21,0.16,0.10,0.05,23.8,0.9,Console
2008,Music_Rhythm,1.04,0.42,0.31,0.21,0.10,23.8,1.7,Console
2009,Action,14.18,5.67,3.55,3.41,1.55,1.9,23.5,Console
2009,Shooter,10.64,4.79,2.87,1.70,1.28,1.9,17.6,Console
2009,Role_Playing,5.85,1.46,1.17,2.63,0.59,1.9,9.7,Console
2009,Sports,6.38,2.55,1.92,1.15,0.76,1.9,10.5,Console
2009,Adventure,3.72,1.49,1.12,0.74,0.37,1.9,6.2,Console
2009,Racing,3.19,1.28,0.96,0.64,0.31,1.9,5.3,Console
2009,Strategy,2.13,0.64,0.64,0.64,0.21,1.9,3.5,PC
2009,Puzzle_Casual,2.66,1.06,0.80,0.53,0.27,1.9,4.4,Mobile
2009,Fighting,1.60,0.64,0.48,0.32,0.16,1.9,2.6,Console
2009,Simulation,2.13,0.85,0.64,0.43,0.21,1.9,3.5,PC
2009,Battle_Royale,0.00,0.00,0.00,0.00,0.00,0.0,0.0,None
2009,MMORPG,2.66,0.80,0.53,1.06,0.27,1.9,4.4,PC
2009,Platformer,3.72,1.49,1.12,0.74,0.37,1.9,6.2,Console
2009,Horror,0.53,0.21,0.16,0.11,0.05,1.9,0.9,Console
2009,Music_Rhythm,1.06,0.42,0.32,0.21,0.11,1.9,1.7,Console
2010,Action,15.20,6.08,3.80,3.65,1.67,7.2,23.5,Console
2010,Shooter,11.40,5.13,3.08,1.82,1.37,7.1,17.6,Console
2010,Role_Playing,6.27,1.57,1.25,2.82,0.63,7.2,9.7,Console
2010,Sports,6.84,2.74,2.05,1.23,0.82,7.2,10.5,Console
2010,Adventure,3.99,1.60,1.20,0.80,0.39,7.3,6.2,Console
2010,Racing,3.42,1.37,1.03,0.68,0.34,7.2,5.3,Console
2010,Strategy,2.28,0.68,0.68,0.68,0.24,7.0,3.5,PC
2010,Puzzle_Casual,2.85,1.14,0.86,0.57,0.28,7.1,4.4,Mobile
2010,Fighting,1.71,0.68,0.51,0.34,0.18,6.9,2.6,Console
2010,Simulation,2.28,0.91,0.68,0.46,0.23,7.0,3.5,PC
2010,Battle_Royale,0.00,0.00,0.00,0.00,0.00,0.0,0.0,None
2010,MMORPG,2.85,0.86,0.57,1.14,0.28,7.1,4.4,PC
2010,Platformer,3.99,1.60,1.20,0.80,0.39,7.3,6.2,Console
2010,Horror,0.57,0.23,0.17,0.11,0.06,7.5,0.9,Console
2010,Music_Rhythm,1.14,0.46,0.34,0.23,0.11,7.5,1.8,Console
2011,Action,16.27,6.51,4.07,3.91,1.78,7.0,23.5,Console
2011,Shooter,12.20,5.49,3.29,1.95,1.47,7.0,17.6,Console
2011,Role_Playing,6.71,1.68,1.34,3.02,0.67,7.0,9.7,Console
2011,Sports,7.32,2.93,2.20,1.32,0.87,7.0,10.6,Console
2011,Adventure,4.27,1.71,1.28,0.85,0.43,7.0,6.2,Console
2011,Racing,3.66,1.46,1.10,0.73,0.37,7.0,5.3,Console
2011,Strategy,2.44,0.73,0.73,0.73,0.25,7.0,3.5,PC
2011,Puzzle_Casual,3.05,1.22,0.92,0.61,0.30,7.0,4.4,Mobile
2011,Fighting,1.83,0.73,0.55,0.37,0.18,7.0,2.6,Console
2011,Simulation,2.44,0.98,0.73,0.49,0.24,7.0,3.5,PC
2011,Battle_Royale,0.00,0.00,0.00,0.00,0.00,0.0,0.0,None
2011,MMORPG,3.05,0.92,0.61,1.22,0.30,7.0,4.4,PC
2011,Platformer,4.27,1.71,1.28,0.85,0.43,7.0,6.2,Console
2011,Horror,0.61,0.24,0.18,0.12,0.07,7.0,0.9,Console
2011,Music_Rhythm,1.22,0.49,0.37,0.24,0.12,7.0,1.8,Console
2012,Action,18.04,7.22,4.51,4.33,1.98,10.9,23.5,Console
2012,Shooter,13.53,6.09,3.66,2.16,1.62,10.9,17.6,Console
2012,Role_Playing,7.44,1.86,1.49,3.35,0.74,10.9,9.7,Console
2012,Sports,8.12,3.25,2.44,1.46,0.97,10.9,10.6,Console
2012,Adventure,4.73,1.89,1.42,0.95,0.47,10.8,6.2,Console
2012,Racing,4.06,1.62,1.22,0.81,0.41,10.9,5.3,Console
2012,Strategy,2.71,0.81,0.81,0.81,0.28,11.1,3.5,PC
2012,Puzzle_Casual,3.38,1.35,1.01,0.68,0.34,10.8,4.4,Mobile
2012,Fighting,2.03,0.81,0.61,0.41,0.20,10.9,2.6,Console
2012,Simulation,2.71,1.08,0.81,0.54,0.28,11.1,3.5,PC
2012,Battle_Royale,0.00,0.00,0.00,0.00,0.00,0.0,0.0,None
2012,MMORPG,3.38,1.01,0.68,1.35,0.34,10.8,4.4,PC
2012,Platformer,4.73,1.89,1.42,0.95,0.47,10.8,6.2,Console
2012,Horror,0.68,0.27,0.20,0.14,0.07,11.5,0.9,Console
2012,Music_Rhythm,1.35,0.54,0.41,0.27,0.13,10.7,1.7,Console
2013,Action,20.34,8.14,5.09,4.89,2.22,12.7,23.5,Console
2013,Shooter,15.26,6.87,4.12,2.44,1.83,12.8,17.6,Console
2013,Role_Playing,8.39,2.10,1.68,3.78,0.83,12.8,9.7,Console
2013,Sports,9.15,3.66,2.75,1.65,1.09,12.7,10.5,Console
2013,Adventure,5.34,2.14,1.60,1.07,0.53,12.9,6.2,Console
2013,Racing,4.58,1.83,1.37,0.92,0.46,12.8,5.3,Console
2013,Strategy,3.05,0.92,0.92,0.92,0.29,12.5,3.5,PC
2013,Puzzle_Casual,3.81,1.52,1.14,0.76,0.39,12.7,4.4,Mobile
2013,Fighting,2.29,0.92,0.69,0.46,0.22,12.8,2.6,Console
2013,Simulation,3.05,1.22,0.92,0.61,0.30,12.5,3.5,PC
2013,Battle_Royale,0.00,0.00,0.00,0.00,0.00,0.0,0.0,None
2013,MMORPG,3.81,1.14,0.76,1.52,0.39,12.7,4.4,PC
2013,Platformer,5.34,2.14,1.60,1.07,0.53,12.9,6.2,Console
2013,Horror,0.76,0.30,0.23,0.15,0.08,11.8,0.9,Console
2013,Music_Rhythm,1.53,0.61,0.46,0.30,0.16,13.3,1.8,Console
2014,Action,25.04,10.02,6.26,6.01,2.75,23.1,23.5,Console
2014,Shooter,18.78,8.45,5.07,3.00,2.26,23.1,17.6,Console
2014,Role_Playing,10.33,2.58,2.07,4.65,1.03,23.1,9.7,Console
2014,Sports,11.27,4.51,3.38,2.03,1.35,23.2,10.6,Console
2014,Adventure,6.57,2.63,1.97,1.31,0.66,23.0,6.2,Console
2014,Racing,5.63,2.25,1.69,1.13,0.56,22.9,5.3,Console
2014,Strategy,3.76,1.13,1.13,1.13,0.37,23.3,3.5,PC
2014,Puzzle_Casual,4.69,1.88,1.41,0.94,0.46,23.1,4.4,Mobile
2014,Fighting,2.82,1.13,0.85,0.56,0.28,23.1,2.6,Console
2014,Simulation,3.76,1.50,1.13,0.75,0.38,23.3,3.5,PC
2014,Battle_Royale,0.00,0.00,0.00,0.00,0.00,0.0,0.0,None
2014,MMORPG,4.69,1.41,0.94,1.88,0.46,23.1,4.4,PC
2014,Platformer,6.57,2.63,1.97,1.31,0.66,23.0,6.2,Console
2014,Horror,0.94,0.38,0.28,0.19,0.09,23.7,0.9,Console
2014,Music_Rhythm,1.88,0.75,0.56,0.38,0.19,22.9,1.8,Console
2015,Action,24.51,9.80,6.13,5.88,2.70,-2.1,23.5,Console
2015,Shooter,18.38,8.27,4.96,2.94,2.21,-2.1,17.6,Console
2015,Role_Playing,10.11,2.53,2.02,4.55,1.01,-2.1,9.7,Console
2015,Sports,11.03,4.41,3.31,1.99,1.32,-2.1,10.6,Console
2015,Adventure,6.43,2.57,1.93,1.29,0.64,-2.1,6.2,Console
2015,Racing,5.51,2.20,1.65,1.10,0.56,-2.1,5.3,Console
2015,Strategy,3.68,1.10,1.10,1.10,0.38,-2.1,3.5,PC
2015,Puzzle_Casual,4.59,1.84,1.38,0.92,0.45,-2.1,4.4,Mobile
2015,Fighting,2.76,1.10,0.83,0.55,0.28,-2.1,2.6,Console
2015,Simulation,3.68,1.47,1.10,0.74,0.37,-2.1,3.5,PC
2015,Battle_Royale,0.00,0.00,0.00,0.00,0.00,0.0,0.0,None
2015,MMORPG,4.59,1.38,0.92,1.84,0.45,-2.1,4.4,PC
2015,Platformer,6.43,2.57,1.93,1.29,0.64,-2.1,6.2,Console
2015,Horror,0.92,0.37,0.28,0.18,0.09,-2.1,0.9,Console
2015,Music_Rhythm,1.84,0.74,0.55,0.37,0.18,-2.1,1.8,Console
2016,Action,27.22,10.89,6.80,6.53,3.00,11.1,23.5,Console
2016,Shooter,20.41,9.18,5.51,3.27,2.45,11.0,17.6,Console
2016,Role_Playing,11.23,2.81,2.25,5.05,1.12,11.1,9.7,Console
2016,Sports,12.25,4.90,3.68,2.21,1.46,11.1,10.6,Console
2016,Adventure,7.14,2.86,2.14,1.43,0.71,11.0,6.2,Console
2016,Racing,6.12,2.45,1.84,1.22,0.61,11.1,5.3,Console
2016,Strategy,4.08,1.22,1.22,1.22,0.42,10.9,3.5,PC
2016,Puzzle_Casual,5.10,2.04,1.53,1.02,0.51,11.1,4.4,Mobile
2016,Fighting,3.06,1.22,0.92,0.61,0.31,10.9,2.6,Console
2016,Simulation,4.08,1.63,1.22,0.82,0.41,10.9,3.5,PC
2016,Battle_Royale,0.00,0.00,0.00,0.00,0.00,0.0,0.0,None
2016,MMORPG,5.10,1.53,1.02,2.04,0.51,11.1,4.4,PC
2016,Platformer,7.14,2.86,2.14,1.43,0.71,11.0,6.2,Console
2016,Horror,1.02,0.41,0.31,0.20,0.10,10.9,0.9,Console
2016,Music_Rhythm,2.04,0.82,0.61,0.41,0.20,10.9,1.8,Console
2017,Action,31.26,12.50,7.82,7.50,3.44,14.8,23.5,Console
2017,Shooter,23.45,10.55,6.33,3.75,2.82,14.9,17.6,Console
2017,Role_Playing,12.90,3.23,2.58,5.81,1.28,14.9,9.7,Console
2017,Sports,14.07,5.63,4.22,2.53,1.69,14.9,10.6,Console
2017,Adventure,8.20,3.28,2.46,1.64,0.82,14.8,6.2,Console
2017,Racing,7.03,2.81,2.11,1.41,0.70,14.9,5.3,Console
2017,Strategy,4.69,1.41,1.41,1.41,0.46,15.0,3.5,PC
2017,Puzzle_Casual,5.86,2.34,1.76,1.17,0.59,14.9,4.4,Mobile
2017,Fighting,3.51,1.40,1.05,0.70,0.36,14.7,2.6,Console
2017,Simulation,4.69,1.88,1.41,0.94,0.46,15.0,3.5,PC
2017,Battle_Royale,0.00,0.00,0.00,0.00,0.00,0.0,0.0,None
2017,MMORPG,5.86,1.76,1.17,2.34,0.59,14.9,4.4,PC
2017,Platformer,8.20,3.28,2.46,1.64,0.82,14.8,6.2,Console
2017,Horror,1.17,0.47,0.35,0.23,0.12,14.7,0.9,Console
2017,Music_Rhythm,2.34,0.94,0.70,0.47,0.23,14.7,1.8,Console
2018,Action,36.32,14.53,9.08,8.72,3.99,16.2,22.9,Console
2018,Shooter,27.24,12.26,7.35,4.36,3.27,16.2,17.1,Console
2018,Role_Playing,14.98,3.75,3.00,6.74,1.49,16.1,9.4,Console
2018,Sports,16.35,6.54,4.90,2.94,1.97,16.2,10.3,Console
2018,Adventure,9.53,3.81,2.86,1.91,0.95,16.2,6.0,Console
2018,Racing,8.17,3.27,2.45,1.63,0.82,16.2,5.1,Console
2018,Strategy,5.45,1.64,1.64,1.64,0.53,16.2,3.4,PC
2018,Puzzle_Casual,6.81,2.72,2.04,1.36,0.69,16.2,4.3,Mobile
2018,Fighting,4.08,1.63,1.22,0.82,0.41,16.2,2.6,Console
2018,Simulation,5.45,2.18,1.64,1.09,0.54,16.2,3.4,PC
2018,Battle_Royale,4.08,1.63,1.22,0.82,0.41,0.0,2.6,Multi
2018,MMORPG,6.81,2.04,1.36,2.72,0.69,16.2,4.3,PC
2018,Platformer,9.53,3.81,2.86,1.91,0.95,16.2,6.0,Console
2018,Horror,1.36,0.54,0.41,0.27,0.14,16.2,0.9,Console
2018,Music_Rhythm,2.72,1.09,0.82,0.54,0.27,16.2,1.7,Console
2019,Action,39.05,15.62,9.76,9.37,4.30,7.5,22.7,Console
2019,Shooter,29.29,13.18,7.91,4.69,3.51,7.5,17.0,Console
2019,Role_Playing,16.11,4.03,3.22,7.25,1.61,7.5,9.3,Console
2019,Sports,17.57,7.03,5.27,3.16,2.11,7.5,10.2,Console
2019,Adventure,10.24,4.10,3.07,2.05,1.02,7.4,5.9,Console
2019,Racing,8.78,3.51,2.63,1.76,0.88,7.5,5.1,Console
2019,Strategy,5.85,1.76,1.76,1.76,0.57,7.3,3.4,PC
2019,Puzzle_Casual,7.32,2.93,2.20,1.46,0.73,7.5,4.2,Mobile
2019,Fighting,4.39,1.76,1.32,0.88,0.43,7.6,2.5,Console
2019,Simulation,5.85,2.34,1.76,1.17,0.58,7.3,3.4,PC
2019,Battle_Royale,5.85,2.34,1.76,1.17,0.58,43.4,3.4,Multi
2019,MMORPG,7.32,2.20,1.46,2.93,0.73,7.5,4.2,PC
2019,Platformer,10.24,4.10,3.07,2.05,1.02,7.4,5.9,Console
2019,Horror,1.46,0.58,0.44,0.29,0.15,7.4,0.8,Console
2019,Music_Rhythm,2.93,1.17,0.88,0.59,0.29,7.7,1.7,Console
2020,Action,44.44,17.78,11.11,10.67,4.88,13.8,22.5,Console
2020,Shooter,33.33,15.00,9.00,5.33,4.00,13.8,16.9,Console
2020,Role_Playing,18.33,4.58,3.67,8.25,1.83,13.8,9.3,Console
2020,Sports,20.00,8.00,6.00,3.60,2.40,13.8,10.1,Console
2020,Adventure,11.66,4.66,3.50,2.33,1.17,13.9,5.9,Console
2020,Racing,10.00,4.00,3.00,2.00,1.00,13.9,5.1,Console
2020,Strategy,6.66,2.00,2.00,2.00,0.66,13.8,3.4,PC
2020,Puzzle_Casual,8.33,3.33,2.50,1.67,0.83,13.8,4.2,Mobile
2020,Fighting,5.00,2.00,1.50,1.00,0.50,13.9,2.5,Console
2020,Simulation,6.66,2.66,2.00,1.33,0.67,13.8,3.4,PC
2020,Battle_Royale,8.33,3.33,2.50,1.67,0.83,42.4,4.2,Multi
2020,MMORPG,8.33,2.50,1.67,3.33,0.83,13.8,4.2,PC
2020,Platformer,11.66,4.66,3.50,2.33,1.17,13.9,5.9,Console
2020,Horror,1.66,0.66,0.50,0.33,0.17,13.7,0.8,Console
2020,Music_Rhythm,3.33,1.33,1.00,0.67,0.33,13.7,1.7,Console
2021,Action,51.43,20.57,12.86,12.34,5.66,15.7,22.4,Console
2021,Shooter,38.57,17.36,10.41,6.17,4.63,15.7,16.8,Console
2021,Role_Playing,21.22,5.31,4.24,9.55,2.12,15.8,9.2,Console
2021,Sports,23.14,9.26,6.94,4.17,2.77,15.7,10.1,Console
2021,Adventure,13.50,5.40,4.05,2.70,1.35,15.8,5.9,Console
2021,Racing,11.57,4.63,3.47,2.31,1.16,15.7,5.0,Console
2021,Strategy,7.71,2.31,2.31,2.31,0.78,15.8,3.4,PC
2021,Puzzle_Casual,9.64,3.86,2.89,1.93,0.96,15.7,4.2,Mobile
2021,Fighting,5.79,2.32,1.74,1.16,0.57,15.8,2.5,Console
2021,Simulation,7.71,3.08,2.31,1.54,0.78,15.8,3.4,PC
2021,Battle_Royale,10.28,4.11,3.08,2.06,1.03,23.4,4.5,Multi
2021,MMORPG,9.64,2.89,1.93,3.86,0.96,15.7,4.2,PC
2021,Platformer,13.50,5.40,4.05,2.70,1.35,15.8,5.9,Console
2021,Horror,1.93,0.77,0.58,0.39,0.19,16.3,0.8,Console
2021,Music_Rhythm,3.86,1.54,1.16,0.77,0.39,15.9,1.7,Console
2022,Action,49.54,19.82,12.39,11.89,5.44,-3.7,22.4,Console
2022,Shooter,37.15,16.72,10.03,5.94,4.46,-3.7,16.8,Console
2022,Role_Playing,20.44,5.11,4.09,9.20,2.04,-3.7,9.2,Console
2022,Sports,22.30,8.92,6.69,4.01,2.68,-3.6,10.1,Console
2022,Adventure,13.00,5.20,3.90,2.60,1.30,-3.7,5.9,Console
2022,Racing,11.14,4.46,3.34,2.23,1.11,-3.7,5.0,Console
2022,Strategy,7.43,2.23,2.23,2.23,0.74,-3.6,3.4,PC
2022,Puzzle_Casual,9.29,3.72,2.79,1.86,0.92,-3.6,4.2,Mobile
2022,Fighting,5.57,2.23,1.67,1.11,0.56,-3.8,2.5,Console
2022,Simulation,7.43,2.97,2.23,1.49,0.74,-3.6,3.4,PC
2022,Battle_Royale,10.36,4.14,3.11,2.07,1.04,0.8,4.7,Multi
2022,MMORPG,9.29,2.79,1.86,3.72,0.92,-3.6,4.2,PC
2022,Platformer,13.00,5.20,3.90,2.60,1.30,-3.7,5.9,Console
2022,Horror,1.86,0.74,0.56,0.37,0.19,-3.6,0.8,Console
2022,Music_Rhythm,3.71,1.48,1.11,0.74,0.38,-3.9,1.7,Console
2023,Action,49.49,19.80,12.37,11.88,5.44,-0.1,22.4,Console
2023,Shooter,37.12,16.70,10.02,5.94,4.46,-0.1,16.8,Console
2023,Role_Playing,20.42,5.11,4.08,9.19,2.04,-0.1,9.2,Console
2023,Sports,22.28,8.91,6.68,4.01,2.68,-0.1,10.1,Console
2023,Adventure,12.99,5.20,3.90,2.60,1.29,-0.1,5.9,Console
2023,Racing,11.13,4.45,3.34,2.23,1.11,-0.1,5.0,Console
2023,Strategy,7.42,2.23,2.23,2.23,0.73,-0.1,3.3,PC
2023,Puzzle_Casual,9.28,3.71,2.78,1.86,0.93,-0.1,4.2,Mobile
2023,Fighting,5.57,2.23,1.67,1.11,0.56,0.0,2.5,Console
2023,Simulation,7.42,2.97,2.23,1.48,0.74,-0.1,3.3,PC
2023,Battle_Royale,10.39,4.16,3.12,2.08,1.03,0.3,4.7,Multi
2023,MMORPG,9.28,2.78,1.86,3.71,0.93,-0.1,4.2,PC
2023,Platformer,12.99,5.20,3.90,2.60,1.29,-0.1,5.9,Console
2023,Horror,1.86,0.74,0.56,0.37,0.19,0.0,0.8,Console
2023,Music_Rhythm,3.71,1.48,1.11,0.74,0.38,0.0,1.7,Console
2024,Action,50.49,20.20,12.62,12.12,5.55,2.0,22.4,Console
2024,Shooter,37.87,17.04,10.22,6.06,4.55,2.0,16.8,Console
2024,Role_Playing,20.83,5.21,4.17,9.37,2.08,2.0,9.2,Console
2024,Sports,22.72,9.09,6.82,4.09,2.72,2.0,10.1,Console
2024,Adventure,13.25,5.30,3.98,2.65,1.32,2.0,5.9,Console
2024,Racing,11.36,4.54,3.41,2.27,1.14,2.1,5.0,Console
2024,Strategy,7.57,2.27,2.27,2.27,0.76,2.0,3.4,PC
2024,Puzzle_Casual,9.46,3.78,2.84,1.89,0.95,1.9,4.2,Mobile
2024,Fighting,5.68,2.27,1.70,1.14,0.57,2.0,2.5,Console
2024,Simulation,7.57,3.03,2.27,1.51,0.76,2.0,3.4,PC
2024,Battle_Royale,10.62,4.25,3.19,2.12,1.06,2.2,4.7,Multi
2024,MMORPG,9.46,2.84,1.89,3.78,0.95,1.9,4.2,PC
2024,Platformer,13.25,5.30,3.98,2.65,1.32,2.0,5.9,Console
2024,Horror,1.89,0.76,0.57,0.38,0.18,1.6,0.8,Console
2024,Music_Rhythm,3.78,1.51,1.13,0.76,0.38,1.9,1.7,Console
